Transaction Category,Transaction Date,Transaction Type,Recipient,Payer,Amount (debit),Amount (credit)
goods,1607-11-01,debit,,Inner Temple,24,
service,1607-11-01,debit,,Inner Temple,1200,
service,1607-11-01,debit,,Inner Temple,24,
service,1607-11-01,debit,Musicians,Inner Temple,240,
service,1608-11-01,debit,,Inner Temple,1140,
service,1608-11-01,debit,Musicians,Inner Temple,240,
goods,1608-11-01,debit,,Inner Temple,390,
service,1608-11-01,debit,,Inner Temple,720,
service,1608-11-01,debit,,Inner Temple,1200,
service,1609-11-01,debit,,Inner Temple,1200,
service,1609-11-01,debit,Musicians,Inner Temple,240,
service,1609-11-01,debit,,Inner Temple,1200,
service,1609-11-01,debit,Musicians,Inner Temple,240,
goods,1611-11-01,debit,,Inner Temple,24,
service,1611-11-01,debit,Musicians,Inner Temple,240,
service,1611-11-01,debit,Consort of Music,Inner Temple,600,
service,1611-11-01,debit,,Inner Temple,480,
service,1611-11-05,debit,Musicians,Inner Temple,160,
goods,1611-11-01,debit,,Inner Temple,24,
service,1611-11-01,debit,,Inner Temple,1440,
service,1611-11-01,debit,Musicians,Inner Temple,240,
goods,1612-11-01,debit,,Inner Temple,24,
service,1612-11-01,debit,Musicians,Inner Temple,240,
service,1612-11-01,debit,,Inner Temple,1200,
service,1612-11-05,debit,Musicians,Inner Temple,160,
service,1612-11-01,debit,,Inner Temple,1600,
service,1612-11-01,debit,company of players,Inner Temple,360,
goods,1612-11-01,debit,,Inner Temple,24,
service,1612-11-01,debit,Musicians,Inner Temple,240,
goods,1612-11-01,debit,,Inner Temple,120,
goods,1612-11-01,debit,,Inner Temple,60,
goods,1612-11-01,debit,,Inner Temple,24,
service,1612-11-01,debit,Mr Lewes Hele,Inner Temple,16800,
service,1612-11-01,debit,Mr Fenner,Inner Temple,2400,
service,1612-11-01,debit,messenger,Inner Temple,,
service,1612-11-01,debit,John Hodgkins,Inner Temple,30,
service,1613-11-01,debit,,Inner Temple,1600,
goods,1613-11-01,debit,,Inner Temple,24,
service,1613-11-01,debit,Musicians,Inner Temple,240,
service,1613-11-05,debit,Musicians,Inner Temple,160,
service,1613-11-01,debit,,Inner Temple,1600,
goods,1613-11-01,debit,,Inner Temple,24,
service,1613-11-01,debit,Musicians,Inner Temple,240,
service,1614-11-01,debit,King Majestys servants,Inner Temple,1440,
goods,1614-11-01,debit,,Inner Temple,24,
service,1614-11-01,debit,John Hopper,Inner Temple,240,
service,1614-11-01,debit,his maijesties servants,Inner Temple,1600,
goods,1614-11-01,debit,,Inner Temple,24,
service,1614-11-01,debit,Musicians,Inner Temple,240,
service,1614-11-01,debit,gentleman revelers,Inner Temple,480,
service,1614-12-17,debit,musicians,Christmas Stewards of Inner Temple,2400,
service,1614-12-17,debit,musicians,Christmas Stewards of Inner Temple,480,
goods,1614-12-24,debit,,Christmas Stewards of Inner Temple,72,
service,1614-12-24,debit,musicians,Christmas Stewards of Inner Temple,2880,
service,1614-12-31,debit,musicians,Christmas Stewards of Inner Temple,2640,
service,1614-01-07,debit,musicians,Christmas Stewards of Inner Temple,1320,
service,1615-11-01,debit,kings majesty servants,Inner Temple,1200,
goods,1615-11-01,debit,,Inner Temple,24,
service,1615-11-01,debit,John Hopper,Inner Temple,240,
service,1615-11-05,debit,musicians,Inner Temple,160,
goods,1615-11-01,debit,,Inner Temple,240,
service,1615-11-01,debit,,Inner Temple,1600,
service,1615-11-01,debit,musicians,Inner Temple,240,
goods,1615-11-01,debit,,Inner Temple,24,
obligation,1615-11-01,debit,Nicholas Polhill,Inner Temple,4800,
obligation,1615-11-01,debit,Mr Jordan [of the bench],Inner Temple,12000,
service,1615-12-20,debit,,Christmas Stewards of Inner Temple,18,
service,1615-12-20,debit,musicians,Christmas Stewards of Inner Temple,2540,
service,1615-12-27,debit,musicians,Christmas Stewards of Inner Temple,6500,
service,1615-01-03,debit,players,Christmas Stewards of Inner Temple,240,
goods,1615-01-03,debit,,Christmas Stewards of Inner Temple,360,
service,1615-01-03,debit,Mr Chettwood,Christmas Stewards of Inner Temple,5502,
service,1615-01-03,debit,Mr Chettwood,Christmas Stewards of Inner Temple,312,
service,1615-01-03,debit,musicians,Christmas Stewards of Inner Temple,5190,
service,1616-11-01,debit,kinges Majesties servants,Inner Temple,1600,
goods,1616-11-01,debit,,Inner Temple,24,
service,1616-11-01,debit,John Hopper,Inner Temple,240,
service,1616-11-05,debit,musicians,Inner Temple,160,
goods,1616-11-01,debit,Francis Lownds,Inner Temple,320,
service,1616-11-01,debit,John Hopper,Inner Temple,240,
goods,1616-11-01,debit,,Inner Temple,24,
obligation,1616-11-01,debit,Mr Brownlowe [of the bench],Inner Temple,12000,
obligation,1616-11-01,debit,Sir Thomas Coventry,Inner Temple,4800,
obligation,1616-11-01,debit,Sir Thomas Coventry,Inner Temple,7200,
service,1616-11-01,debit,Mr Martin [of the Middle Temple] and Giles [a Taylor by the appointment of Mr Jorden],Inner Temple,9600,
service,1616-11-01,debit,Richard Mayer,Inner Temple,600,
service,1616-12-18,debit,,Christmas Stewards of Inner Temple,64,
service,1616-12-18,debit,musicians,Christmas Stewards of Inner Temple,1884,
service,1616-12-25,debit,musicians,Christmas Stewards of Inner Temple,5620,
service,1616-01-08,debit,musicians,Christmas Stewards of Inner Temple,982,
service,1616-01-08,debit,musicians,Christmas Stewards of Inner Temple,720,
service,1617-11-01,debit,musicians,Inner Temple,160,
service,1617-11-05,debit,musicians,Inner Temple,160,
service,1617-11-01,debit,musicians,Inner Temple,160,
service,1617-11-01,debit,musicians,Inner Temple,480,
service,1617-11-01,debit,,Inner Temple,1680,
service,1617-12-19,debit,musicians,Christmas Stewards of Inner Temple,2264,
service,1617-12-26,debit,musicians,Christmas Stewards of Inner Temple,2324,
service,1617-01-02,debit,musicians,Christmas Stewards of Inner Temple,2364,
service,1617-01-09,debit,musicians,Christmas Stewards of Inner Temple,1176,
service,1619-11-01,debit,,Inner Temple,1680,
service,1619-11-01,debit,,Inner Temple,1680,
service,1619-11-01,debit,musicians,Inner Temple,480,
service,1619-11-05,debit,musicians,Inner Temple,160,
service,1619-12-18,debit,,Christmas Stewards of Inner Temple,240,
service,1619-12-18,debit,musicians,Christmas Stewards of Inner Temple,2348,
service,1619-12-25,debit,musicians,Christmas Stewards of Inner Temple,2348,
service,1619-12-25,debit,trumpters,Christmas Stewards of Inner Temple,132,
service,1619-12-25,debit,tumblers,Christmas Stewards of Inner Temple,180,
service,1619-01-01,debit,musicians,Christmas Stewards of Inner Temple,2104,
service,1619-01-08,debit,musicians,Christmas Stewards of Inner Temple,1436,
obligation,1619-01-08,debit,My Lords,Christmas Stewards of Inner Temple,1080,
service,1620-11-01,debit,,Inner Temple,3360,
service,1620-11-01,debit,musicians,Inner Temple,240,
service,1620-11-05,debit,musicians,Inner Temple,160,
service,1620-11-01,debit,musicians,Inner Temple,240,
service,1620-12-22,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1620-12-22,debit,,Christmas Stewards of Inner Temple,88,
service,1620-12-27,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1620-12-27,debit,musicians,Christmas Stewards of Inner Temple,120,
service,1620-12-27,debit,,Christmas Stewards of Inner Temple,132,
service,1620-01-03,debit,musicians,Christmas Stewards of Inner Temple,2442,
service,1620-01-03,debit,,Christmas Stewards of Inner Temple,36,
service,1620-01-10,debit,musicians,Christmas Stewards of Inner Temple,1220,
service,1621-11-01,debit,kings players,Inner Temple,3360,
service,1621-11-05,debit,musicians,Inner Temple,640,
goods,1621-12-19,debit,,Christmas Stewards of Inner Temple,60,
service,1621-12-19,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1621-12-26,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1621-12-26,debit,musicians,Christmas Stewards of Inner Temple,264,
service,1621-01-02,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1621-01-09,debit,musicians,Christmas Stewards of Inner Temple,1100,
service,1621-01-09,debit,,Christmas Stewards of Inner Temple,6,
service,1622-11-01,debit,,Inner Temple,1680,
service,1622-11-01,debit,musicians,Inner Temple,480,
service,1622-11-05,debit,musicians,Inner Temple,160,
service,1622-12-24,debit,musicians,Christmas Stewards of Inner Temple,3040,
service,1622-12-24,debit,musicians,Christmas Stewards of Inner Temple,192,
service,1622-01-01,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1622-01-08,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1623-11-01,debit,,Inner Temple,3360,
service,1623-11-01,debit,musicians,Inner Temple,640,
service,1623-11-05,debit,musicians,Inner Temple,160,
service,1623-12-20,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1623-12-20,debit,trumpeters,Christmas Stewards of Inner Temple,264,
service,1623-12-27,debit,musicians,Christmas Stewards of Inner Temple,2440,
goods,1623-01-03,debit,,Christmas Stewards of Inner Temple,60,
service,1623-01-03,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1623-01-03,debit,musicians,Christmas Stewards of Inner Temple,2148,
service,1624-11-01,debit,,Inner Temple,1680,
service,1624-11-01,debit,musicians,Inner Temple,240,
service,1624-12-18,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1624-12-25,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1624-12-25,debit,musicians,Christmas Stewards of Inner Temple,2412,
service,1624-01-01,debit,musicians,Christmas Stewards of Inner Temple,2452,
service,1625-01-13,debit,players,Inner Temple,1680,
service,1625-01-13,debit,musicians,Inner Temple,640,
goods,1625-01-13,debit,,Inner Temple,120,
service,1625-01-13,debit,porters,Inner Temple,48,
service,1626-11-03,debit,king majesties players,Inner Temple,1680,
service,1626-11-03,debit,gentlemen that were revelers,Inner Temple,480,
service,1626-11-03,debit,musicians,Inner Temple,480,
service,1626-11-05,debit,musicians,Inner Temple,160,
service,1626-11-03,debit,,Inner Temple,1680,
goods,1626-11-03,debit,,Inner Temple,120,
goods,1626-11-03,debit,,Inner Temple,18,
service,1627-11-05,debit,players,Inner Temple,1680,
service,1626-11-03,debit,porters,Inner Temple,96,
goods,1626-12-20,debit,,Christmas Stewards of Inner Temple,18,
service,1626-12-20,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1626-12-27,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1626-01-03,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1626-01-10,debit,musicians,Christmas Stewards of Inner Temple,1220,
service,1626-01-10,debit,Raphe Graunte,Christmas Stewards of Inner Temple,60,
service,1627-11-03,debit,Cockpitt players,Inner Temple,1680,
service,1627-11-03,debit,kings players,Inner Temple,1680,
service,1627-11-03,debit,musicians,Inner Temple,480,
service,1627-11-05,debit,musicians,Inner Temple,160,
goods,1627-11-05,debit,,Inner Temple,120,
goods,1627-11-05,debit,,Inner Temple,12,
goods,1627-11-03,debit,,Inner Temple,100,
service,1627-12-19,debit,musicians,Christmas Stewards of Inner Temple,2440,
goods,1627-12-19,debit,vintener,Christmas Stewards of Inner Temple,2440,
service,1627-12-26,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1627-01-02,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1627-01-02,debit,panierman,Christmas Stewards of Inner Temple,120,
service,1627-01-09,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1627-01-09,debit,,Christmas Stewards of Inner Temple,240,
service,1628-11-03,debit,,Inner Temple,1680,
service,1628-11-05,debit,Musicians,Inner Temple,160,
service,1628-11-03,debit,Musicians,Inner Temple,240,
service,1628-11-03,debit,musicians,Inner Temple,480,
service,1628-12-20,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1629-11-05,debit,Musicians,Inner Temple,160,
service,1629-11-03,debit,Blackfriers Players,Inner Temple,1680,
service,1629-11-03,debit,Musicians,Inner Temple,240,
service,1629-12-19,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1629-12-27,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1629-01-03,debit,musicians,Christmas Stewards of Inner Temple,2080,
service,1629-01-03,debit,horm player,Christmas Stewards of Inner Temple,60,
service,1629-01-10,debit,musicians,Christmas Stewards of Inner Temple,1460,
service,1630-11-03,debit,Musicians,Inner Temple,480,
service,1630-11-03,debit,Blackfrier Players,Inner Temple,1680,
goods,1630-11-03,debit,William Foster,Inner Temple,240,
service,1631-11-03,debit,Musicians,Inner Temple,480,
service,1631-11-05,debit,Musicians,Inner Temple,160,
service,1631-11-03,debit,Blackfrier Players,Inner Temple,3360,
service,1631-11-03,debit,four porters,Inner Temple,48,
service,1631-12-17,debit,musicians,Christmas Stewards of Inner Temple,1920,
service,1631-12-24,debit,musicians,Christmas Stewards of Inner Temple,1920,
service,1631-12-31,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1631-12-31,debit,Horn Player,Christmas Stewards of Inner Temple,60,
service,1632-11-05,debit,Musicians,Inner Temple,160,
service,1632-11-03,debit,Musicians,Inner Temple,480,
service,1632-11-03,debit,Balckfrier Players,Inner Temple,3360,
service,1632-11-03,debit,Four Porters,Inner Temple,48,
service,1632-11-03,debit,Four Porters,Inner Temple,48,
obligation,1633-11-03,debit,Mr Thomas Willis [one of the benchers of this house],Inner Temple,150240,
service,1633-11-05,debit,Musicians,Inner Temple,160,
service,1633-11-03,debit,Musicians,Inner Temple,480,
service,1633-11-03,debit,Four Watchmen,Inner Temple,48,
service,1633-11-03,debit,Balckfrier Players,Inner Temple,1680,
service,1633-11-03,debit,Four Porters,Inner Temple,96,
service,1633-11-03,debit,labourer,Inner Temple,18,
service,1633-11-03,debit,Pavier,Inner Temple,18,
service,1633-11-03,debit,Mr Massies servants,Inner Temple,240,
service,1633-12-18,debit,musicians,Christmas Stewards of Inner Temple,2200,
service,1633-12-18,debit,musicians,Christmas Stewards of Inner Temple,240,
obligation,1634-11-03,debit,Mr Thomas Willis [one of the benchers of this house],Inner Temple,40800,
service,1634-11-03,debit,Mr Pope[ a rider at the masque],Inner Temple,660,
service,1634-11-03,debit,Mr Rouland Reinolds,Inner Temple,1032,
service,1634-11-03,debit,Mr John Finch [a rider at the masque],Inner Temple,240,
service,1634-11-03,debit,Mr Carew [a masque],Inner Temple,240,
service,1634-11-05,debit,Musicians,Inner Temple,160,
service,1634-11-03,debit,Musicians,Inner Temple,480,
service,1634-11-03,debit,Blackfrier Players,Inner Temple,1680,
service,1634-11-03,debit,Four Porters,Inner Temple,96,
service,1635-11-05,debit,Musicians,Inner Temple,160,
service,1635-11-03,debit,Musicians,Inner Temple,240,
service,1635-11-03,debit,Blackfrier Players,Inner Temple,1680,
service,1635-11-03,debit,Four Porters,Inner Temple,48,
service,1636-01-29,debit,Henry Feilde [musician],Inner Temple,480,
service,1636-01-29,debit,Musicians,Inner Temple,240,
service,1636-01-29,debit,Kings Players,Inner Temple,1680,
service,1636-01-29,debit,Four Porters,Inner Temple,48,
service,1638-11-05,debit,Musicians,Inner Temple,160,
service,1638-11-03,debit,Musicians,Inner Temple,480,
service,1638-11-03,debit,Kings Players,Inner Temple,4800,
service,1638-11-03,debit,Four Porters,Inner Temple,96,
service,1639-11-07,debit,Musicians,Inner Temple,480,
service,1639-11-07,debit,Four Porters,Inner Temple,96,
service,1639-11-05,debit,Musicians,Inner Temple,240,
service,1640-11-08,debit,Balckfrier Players,Inner Temple,2400,
service,1640-11-08,debit,Musicians,Inner Temple,480,
service,1640-11-08,debit,Four Porters,Inner Temple,96,
,,,,,,
fine,1580-01-01,debit,Lincoln's Inn Accountant,Mr. Southwell,320,
service,1580-01-01,credit,William Perryn,Lincoln's Inn Accountant,,320
service,1581-02-03,credit,William Perryn,Lincoln's Inn Accountant,,320
service,1582-02-03,credit,William Perryn,Lincoln's Inn Accountant,,320
fine,1583-01-01,debit,Lincoln's Inn Accountant,Mr. Albanye the younger,320,
service,1583-02-03,credit,William Perryn,Lincoln's Inn Accountant,,320
service,1579-02-13,credit,,Lincoln's Inn Accountant,,14
service,1579-02-13,credit,,Lincoln's Inn Accountant,,14
goods,1579-02-13,credit,,Gray's Inn Accountant,,60
goods,1579-02-13,credit,,Gray's Inn Accountant,,14
goods,1579-02-13,credit,,Gray's Inn Accountant,,256
goods,1612-01-27,debit,Thomas Watson,Lincoln's Inn Accountant,12000,
goods,1612-01-27,debit,Thomas Pittes,Lincoln's Inn Accountant,2400,
goods,1612-01-27,debit,Mr. Anton,Lincoln's Inn Accountant,43836,
goods,1612-01-27,debit,Mr Smith,Lincoln's Inn Accountant,15600,
service,1612-01-27,debit,Mr Morrice,Lincoln's Inn Accountant,24000,
service,1612-01-27,debit,,Lincoln's Inn Accountant,9600,
goods,1612-01-27,debit,,Lincoln's Inn Accountant,3840,
service,1612-01-27,debit,,Lincoln's Inn Accountant,28800,
service,1612-01-27,debit,,Lincoln's Inn Accountant,13200,
service,1612-01-27,debit,,Lincoln's Inn Accountant,24000,
service,1612-01-27,debit,,Lincoln's Inn Accountant,10800,
goods,1612-01-27,debit,,Lincoln's Inn Accountant,45600,
service,1612-01-27,debit,,Lincoln's Inn Accountant,2400,
service,1612-01-27,debit,,Lincoln's Inn Accountant,2400,
goods,1612-01-27,debit,,Lincoln's Inn Accountant,120,
goods,1612-01-27,debit,,Lincoln's Inn Accountant,720,
service,1612-01-27,debit,,Lincoln's Inn Accountant,144,
service,1612-01-27,debit,,Lincoln's Inn Accountant,6,
goods,1612-01-27,debit,,Lincoln's Inn Accountant,72,
service,1612-01-27,debit,,Lincoln's Inn Accountant,18,
goods,1612-01-27,debit,,Lincoln's Inn Accountant,68,
goods,1612-01-27,debit,,Lincoln's Inn Accountant,6,
service,1612-01-27,debit,,Lincoln's Inn Accountant,12,
fine,1613-06-11,credit,John Hopkins,masters of the Bench at Middle Temple,,10200
fine,1613-06-11,credit,John Hopkins,masters of the utter bar at Middle Temple,,15840
fine,1613-06-11,credit,John Hopkins,gentlemen under the bar at Middle Temple,,5040
fine,1613-06-12,credit,Johns Hopkins,25 masters of the Bench at Middle Temple,,15000
fine,1613-06-12,credit,Johns Hopkins,128 masters of the utter bar at Middle Temple,,46080
fine,1613-06-12,credit,Johns Hopkins,200 gentlemen under the bar at Middle Temple,,36000
service,1613-06-12,debit,Mr Daston,John Hopkins,84000,
service,1613-06-12,debit,Mr Baldwyn, the undertreasurer of Middle Temple,John Hopkins,7200
service,1613-06-12,debit,John Hoplins,John Hopkins,2427,
