Transaction Category,Transaction Date,Transaction Type,Recipient,Payer,Amount (debit),Amount (credit)
goods,1627-12-19,debit,vintener,Christmas Stewards of Inner Temple,2440,
service,1627-12-26,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1627-01-02,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1627-01-02,debit,panierman,Christmas Stewards of Inner Temple,120,
service,1627-01-09,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1627-01-09,debit,,Christmas Stewards of Inner Temple,240,
service,1628-11-03,debit,,Inner Temple,1680,
service,1628-11-05,debit,Musicians,Inner Temple,160,
service,1628-11-03,debit,Musicians,Inner Temple,240,
service,1628-11-03,debit,musicians,Inner Temple,480,
service,1628-12-20,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1629-11-05,debit,Musicians,Inner Temple,160,
service,1629-11-03,debit,Blackfriers Players,Inner Temple,1680,
service,1629-11-03,debit,Musicians,Inner Temple,240,
service,1629-12-19,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1629-12-27,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1629-01-03,debit,musicians,Christmas Stewards of Inner Temple,2080,
service,1629-01-03,debit,horm player,Christmas Stewards of Inner Temple,60,
service,1629-01-10,debit,musicians,Christmas Stewards of Inner Temple,1460,
service,1630-11-03,debit,Musicians,Inner Temple,480,
service,1630-11-03,debit,Blackfrier Players,Inner Temple,1680,
goods,1630-11-03,debit,William Foster,Inner Temple,240,
service,1631-11-03,debit,Musicians,Inner Temple,480,
service,1631-11-05,debit,Musicians,Inner Temple,160,
service,1631-11-03,debit,Blackfrier Players,Inner Temple,3360,
service,1631-11-03,debit,four porters,Inner Temple,48,
service,1631-12-17,debit,musicians,Christmas Stewards of Inner Temple,1920,
service,1631-12-24,debit,musicians,Christmas Stewards of Inner Temple,1920,
service,1631-12-31,debit,musicians,Christmas Stewards of Inner Temple,2440,
service,1631-12-31,debit,Horn Player,Christmas Stewards of Inner Temple,60,
service,1632-11-05,debit,Musicians,Inner Temple,160,
service,1632-11-03,debit,Musicians,Inner Temple,480,
service,1632-11-03,debit,Balckfrier Players,Inner Temple,3360,
service,1632-11-03,debit,Four Porters,Inner Temple,48,
service,1632-11-03,debit,Four Porters,Inner Temple,48,
obligation,1633-11-03,debit,Mr Thomas Willis [one of the benchers of this house],Inner Temple,150240,
service,1633-11-05,debit,Musicians,Inner Temple,160,
service,1633-11-03,debit,Musicians,Inner Temple,480,
service,1633-11-03,debit,Four Watchmen,Inner Temple,48,
service,1633-11-03,debit,Balckfrier Players,Inner Temple,1680,
service,1633-11-03,debit,Four Porters,Inner Temple,96,
service,1633-11-03,debit,labourer,Inner Temple,18,
service,1633-11-03,debit,Pavier,Inner Temple,18,
service,1633-11-03,debit,Mr Massies servants,Inner Temple,240,
service,1633-12-18,debit,musicians,Christmas Stewards of Inner Temple,2200,
service,1633-12-18,debit,musicians,Christmas Stewards of Inner Temple,240,
obligation,1634-11-03,debit,Mr Thomas Willis [one of the benchers of this house],Inner Temple,40800,
service,1634-11-03,debit,Mr Pope[ a rider at the masque],Inner Temple,660,
service,1634-11-03,debit,Mr Rouland Reinolds,Inner Temple,1032,
service,1634-11-03,debit,Mr John Finch [a rider at the masque],Inner Temple,240,
service,1634-11-03,debit,Mr Carew [a masque],Inner Temple,240,
service,1634-11-05,debit,Musicians,Inner Temple,160,
service,1634-11-03,debit,Musicians,Inner Temple,480,
service,1634-11-03,debit,Blackfrier Players,Inner Temple,1680,
service,1634-11-03,debit,Four Porters,Inner Temple,96,
service,1635-11-05,debit,Musicians,Inner Temple,160,
service,1635-11-03,debit,Musicians,Inner Temple,240,
service,1635-11-03,debit,Blackfrier Players,Inner Temple,1680,
service,1635-11-03,debit,Four Porters,Inner Temple,48,
service,1636-01-29,debit,Henry Feilde [musician],Inner Temple,480,
service,1636-01-29,debit,Musicians,Inner Temple,240,
service,1636-01-29,debit,Kings Players,Inner Temple,1680,
service,1636-01-29,debit,Four Porters,Inner Temple,48,
service,1638-11-05,debit,Musicians,Inner Temple,160,
service,1638-11-03,debit,Musicians,Inner Temple,480,
service,1638-11-03,debit,Kings Players,Inner Temple,4800,
service,1638-11-03,debit,Four Porters,Inner Temple,96,
service,1639-11-07,debit,Musicians,Inner Temple,480,
service,1639-11-07,debit,Four Porters,Inner Temple,96,
service,1639-11-05,debit,Musicians,Inner Temple,240,
service,1640-11-08,debit,Balckfrier Players,Inner Temple,2400,
service,1640-11-08,debit,Musicians,Inner Temple,480,
service,1640-11-08,debit,Four Porters,Inner Temple,96,
